Nombre de la Universidad;Rama de estudios;Nombre de la titulación;Nota de corte ordinaria del grupo 1
Universidad Complutense de Madrid;Artes y Humanidades;Musicología;5,000
Universidad Complutense de Madrid;Artes y Humanidades;Traducción e Interpretación;5,000
Universidad Complutense de Madrid;Centros adscritos;Administración y Dirección de Empresas;5,000
Universidad Complutense de Madrid;Centros adscritos;Derecho;5,000
Universidad Complutense de Madrid;Centros adscritos;Derecho - ADE;5,000
Universidad Complutense de Madrid;Centros adscritos;Educación Social;5,000
Universidad Complutense de Madrid;Centros adscritos;Maestro de Educación Infantil;5,000
Universidad Complutense de Madrid;Centros adscritos;Maestro de Educación Infantil - Maestro de Educación Primaria;5,000
Universidad Complutense de Madrid;Centros adscritos;Maestro de Educación Primaria;5,000
Universidad Complutense de Madrid;Centros adscritos;Maestro de Educación Primaria - Pedagogía;5,000
Universidad Complutense de Madrid;Centros adscritos;Pedagogía;5,000
Universidad Complutense de Madrid;Centros adscritos;Psicología;5,000
Universidad Complutense de Madrid;Ciencias;Biología;9,936
Universidad Complutense de Madrid;Ciencias;Bioquímica;12,262
Universidad Complutense de Madrid;Ciencias;Ciencia y Tecnología de los Alimentos;8,560
Universidad Complutense de Madrid;Ciencias;Física;11,811
Universidad Complutense de Madrid;Ciencias;Geología;5,000
Universidad Complutense de Madrid;Ciencias;Matemáticas;12,250
Universidad Complutense de Madrid;Ciencias;Matemáticas y Ciencia de Datos;11,964
Universidad Complutense de Madrid;Ciencias;Química;10,111
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Administración y Dirección de Empresas;9,564
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Administración y Dirección de Empresas (en inglés);10,714
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Antropología Social y Cultural;5,000
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Ciencia de los Datos Aplicada;10,937
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Ciencias Políticas;5,778
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Comercio;8,150
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Comunicación Audiovisual;9,544
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Criminología;11,233
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Derecho;8,439
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Economía;8,800
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Economía (en inglés);9,545
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Educación Social;8,500
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Estadística Aplicada;8,878
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Finanzas, Banca y Seguros;9,420
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Geografía y Ordenación del Territorio;5,000
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Gestión y Administración Pública;5,228
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Información y Documentación;5,000
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Maestro de Educación Infantil;9,050
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Maestro de Educación Primaria;10,262
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Pedagogía;8,600
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Periodismo;6,575
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Publicidad y Relaciones Públicas;10,364
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Relaciones Internacionales;11,185
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Relaciones Laborales y Recursos Humanos;7,350
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Sociología;5,000
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Trabajo Social;7,140
Universidad Complutense de Madrid;Ciencias Sociales y Jurídicas;Turismo;5,000
